_id,FSA,BEV,PHEV,TotalEV,City Name
353,M8W,139.0,44.0,183,Unknown
354,M8X,147.0,55.0,202,Unknown
355,M8Y,181.0,57.0,238,Unknown
356,M8Z,276.0,121.0,397,Unknown
357,M9A,277.0,117.0,394,Unknown
358,M9B,230.0,76.0,306,Unknown
359,M9C,146.0,69.0,215,Unknown
360,M9L,54.0,16.0,70,Unknown
361,M9M,50.0,11.0,61,Unknown
362,M9N,66.0,29.0,95,Unknown
363,M9P,68.0,21.0,89,Unknown
364,M9R,64.0,27.0,91,Unknown
365,M9V,120.0,40.0,160,Unknown
366,M9W,813.0,52.0,865,Unknown
367,N0A,98.0,58.0,156,Unknown
368,N0B,653.0,294.0,947,Unknown
369,N0C,66.0,27.0,93,Unknown
370,N0E,91.0,56.0,147,Unknown
371,N0G,189.0,106.0,295,Unknown
372,N0H,247.0,130.0,377,Unknown
373,N0J,90.0,60.0,150,Unknown
374,N0K,34.0,31.0,65,Unknown
375,N0L,195.0,106.0,301,Unknown
376,N0M,207.0,109.0,316,Unknown
377,N0N,77.0,61.0,138,Unknown
378,N0P,93.0,61.0,154,Unknown
379,N0R,180.0,154.0,334,Unknown
380,N1A,29.0,11.0,40,Unknown
381,N1C,18.0,22.0,40,Unknown
382,N1E,198.0,107.0,305,Unknown
383,N1G,182.0,86.0,268,Unknown
384,N1H,189.0,97.0,286,Unknown
385,N1K,52.0,20.0,72,Unknown
386,N1L,169.0,66.0,235,Unknown
387,N1M,69.0,46.0,115,Unknown
388,N1P,32.0,16.0,48,Unknown
389,N1R,135.0,62.0,197,Unknown
390,N1S,105.0,44.0,149,Unknown
391,N1T,107.0,37.0,144,Unknown
392,N2A,169.0,69.0,238,Unknown
393,N2B,76.0,32.0,108,Unknown
394,N2C,59.0,20.0,79,Unknown
395,N2E,118.0,51.0,169,Unknown
396,N2G,78.0,29.0,107,Unknown
397,N2H,124.0,60.0,184,Unknown
398,N2J,125.0,44.0,169,Unknown
399,N2K,255.0,100.0,355,Unknown
400,N2L,208.0,84.0,292,Unknown
401,N2M,127.0,59.0,186,Unknown
402,N2N,88.0,65.0,153,Unknown
403,N2P,214.0,75.0,289,Unknown
404,N2R,148.0,42.0,190,Unknown
405,N2S,1.0,,1,Unknown
406,N2T,165.0,75.0,240,Unknown
407,N2V,152.0,76.0,228,Unknown
408,N2Y,1.0,,1,Unknown
409,N2Z,59.0,34.0,93,Unknown
410,N3A,126.0,70.0,196,Unknown
411,N3B,54.0,25.0,79,Unknown
412,N3C,169.0,80.0,249,Unknown
413,N3E,30.0,7.0,37,Unknown
414,N3G,1.0,,1,Unknown
415,N3H,98.0,36.0,134,Unknown
416,N3K,1.0,,1,Unknown
417,N3L,88.0,58.0,146,Unknown
418,N3M,1.0,,1,Unknown
419,N3P,16.0,17.0,33,Unknown
420,N3R,93.0,56.0,149,Unknown
421,N3S,66.0,33.0,99,Unknown
422,N3T,177.0,91.0,268,Unknown
423,N3V,10.0,3.0,13,Unknown
424,N3W,80.0,26.0,106,Unknown
425,N3Y,53.0,29.0,82,Unknown
426,N4B,13.0,7.0,20,Unknown
427,N4G,62.0,39.0,101,Unknown
428,N4K,93.0,67.0,160,Unknown
429,N4L,22.0,18.0,40,Unknown
430,N4N,29.0,12.0,41,Unknown
431,N4S,95.0,53.0,148,Unknown
432,N4T,63.0,32.0,95,Unknown
433,N4V,14.0,5.0,19,Unknown
434,N4W,37.0,18.0,55,Unknown
435,N4X,32.0,29.0,61,Unknown
436,N4Z,8.0,9.0,17,Unknown
437,N5A,107.0,71.0,178,Unknown
438,N5C,52.0,18.0,70,Unknown
439,N5H,24.0,16.0,40,Unknown
440,N5L,15.0,9.0,24,Unknown
441,N5N,1.0,,1,Unknown
442,N5P,48.0,34.0,82,Unknown
443,N5R,64.0,53.0,117,Unknown
444,N5V,47.0,34.0,81,Unknown
445,N5W,40.0,26.0,66,Unknown
446,N5X,156.0,83.0,239,Unknown
447,N5Y,33.0,31.0,64,Unknown
448,N5Z,30.0,37.0,67,Unknown
449,N6A,58.0,34.0,92,Unknown
450,N6B,21.0,24.0,45,Unknown
451,N6C,89.0,69.0,158,Unknown
452,N6E,22.0,56.0,78,Unknown
453,N6G,206.0,143.0,349,Unknown
454,N6H,135.0,74.0,209,Unknown
455,N6J,47.0,33.0,80,Unknown
456,N6K,172.0,127.0,299,Unknown
457,N6L,27.0,15.0,42,Unknown
458,N6M,32.0,12.0,44,Unknown
459,N6N,7.0,,7,Unknown
460,N6P,73.0,45.0,118,Unknown
461,N7A,41.0,32.0,73,Unknown
462,N7G,50.0,29.0,79,Unknown
463,N7L,42.0,24.0,66,Unknown
464,N7M,55.0,31.0,86,Unknown
465,N7S,46.0,37.0,83,Unknown
466,N7T,29.0,20.0,49,Unknown
467,N7V,22.0,10.0,32,Unknown
468,N7W,8.0,6.0,14,Unknown
469,N7X,13.0,5.0,18,Unknown
470,N8A,15.0,10.0,25,Unknown
