FSA_Code,Place_Name
N8A,Wallaceburg
N8H,Leamington
N8M,Essex
N8N,Tecumseh
N8P,Tecumseh
N8R,Windsor
N8S,Windsor
N8T,Windsor
N8V,Windsor
N8W,Windsor
N8X,Windsor
N8Y,Windsor
N9A,Windsor
N9B,Windsor
N9C,Windsor
N9E,Windsor
N9G,Windsor
N9H,Windsor
N9J,Windsor
N9K,Tecumseh
N9V,Amherstburg
N9Y,Kingsville
P0A,Sundridge
P0B,Bracebridge
P0C,Bracebridge
P0E,Gravenhurst
P0G,Sudbury
P0H,North_Bay
P0J,New_Liskeard
P0K,Kirkland_Lake
P0L,Timmins
P0M,Sudbury
P0N,Timmins
P0P,Sudbury
P0R,Sudbury
P0S,Sault_Ste._Marie
P0T,Thunder_Bay
P0V,Weagamow_Lake
P0W,Kenora
P0X,Kenora
P0Y,Ingolf
P1A,North_Bay
P1B,North_Bay
P1C,North_Bay
P1H,Huntsville
P1L,Bracebridge
P1P,Gravenhurst
P2A,Parry_Sound
P2B,Garden_Village
P2N,Kirkland_Lake
P3A,Sudbury
P3B,Sudbury
P3C,Sudbury
P3E,Sudbury
P3G,Sudbury
P3L,Garson
P3N,Greater_Sudbury
P3P,Hanmer
P3Y,Greater_Sudbury
P4N,Timmins
P4P,Timmins
P4R,Timmins
P5A,Elliot_Lake
P5E,Espanola
P5N,Kapuskasing
P6A,Sault_Ste._Marie
P6B,Sault_Ste._Marie
P6C,Sault_Ste._Marie
P7A,Thunder_Bay
P7B,Thunder_Bay
P7C,Thunder_Bay
P7E,Thunder_Bay
P7G,Thunder_Bay
P7J,Thunder_Bay
P7K,Thunder_Bay
P7L,Neebing
P8N,Dryden
P8T,Sioux_Lookout
P9A,Fort_Frances
P9N,Kenora

