_id,FSA,BEV,PHEV,TotalEV
426,N4T,51,34,85
427,N4V,9,4,13
428,N4W,16,11,27
429,N4X,20,30,50
430,N4Z,4,9,13
431,N5A,85,66,151
432,N5C,40,18,58
433,N5H,16,19,35
434,N5L,11,9,20
435,N5N,1,,1
436,N5P,36,33,69
437,N5R,46,52,98
438,N5V,29,32,61
439,N5W,27,29,56
440,N5X,110,74,184
441,N5Y,29,30,59
442,N5Z,23,36,59
443,N6A,47,32,79
444,N6B,12,26,38
445,N6C,70,55,125
446,N6E,12,53,65
447,N6G,153,129,282
448,N6H,101,67,168
449,N6J,31,32,63
450,N6K,133,111,244
451,N6L,20,13,33
452,N6M,24,15,39
453,N6N,3,,3
454,N6P,55,40,95
455,N7A,34,27,61
456,N7G,34,26,60
457,N7L,32,22,54
458,N7M,41,34,75
459,N7S,34,36,70
460,N7T,20,21,41
461,N7V,16,9,25
462,N7W,5,5,10
463,N7X,8,3,11
464,N8A,9,7,16
465,N8H,30,34,64
466,N8M,18,21,39
467,N8N,78,52,130
468,N8P,28,36,64
469,N8R,11,21,32
470,N8S,20,28,48
471,N8T,8,16,24
472,N8V,1,,1
473,N8W,30,36,66
474,N8X,26,19,45
475,N8Y,25,13,38
476,N9A,14,27,41
477,N9B,18,15,33
478,N9C,8,16,24
479,N9E,39,36,75
480,N9G,40,35,75
481,N9H,43,40,83
482,N9J,66,45,111
483,N9K,8,7,15
484,N9T,1,,1
485,N9V,47,42,89
486,N9Y,39,27,66
487,P0A,34,15,49
488,P0B,45,17,62
489,P0C,21,10,31
490,P0E,7,7,14
491,P0G,4,6,10
492,P0H,32,41,73
493,P0J,15,18,33
494,P0K,3,7,10
495,P0L,10,18,28
496,P0M,42,63,105
497,P0N,1,2,3
498,P0P,9,15,24
499,P0R,9,4,13
500,P0S,12,3,15
501,P0T,18,30,48
502,P0V,3,7,10
503,P0W,1,1,2
504,P0X,7,7,14
505,P1A,13,12,25
506,P1B,32,46,78
507,P1C,16,5,21
508,P1H,46,22,68
509,P1L,40,29,69
510,P1P,21,9,30
511,P2A,32,12,44
512,P2B,10,10,20
513,P2N,,3,3
514,P3A,37,29,66
515,P3B,21,18,39
516,P3C,11,16,27
517,P3E,79,69,148
518,P3G,22,17,39
519,P3L,5,7,12
520,P3N,4,12,16
521,P3P,36,32,68
522,P3Y,11,12,23
523,P4N,9,17,26
524,P4P,2,1,3
525,P4R,4,7,11
526,P5A,1,3,4
527,P5E,5,3,8
528,P5N,5,10,15
529,P6A,19,27,46
530,P6B,18,10,28
531,P6C,6,4,10
532,P7A,20,36,56
533,P7B,23,28,51
534,P7C,13,11,24
535,P7E,7,19,26
536,P7G,23,22,45
537,P7J,9,6,15
538,P7K,6,5,11
539,P7L,,3,3
540,P8N,4,9,13
541,P8T,5,5,10
542,P9A,3,6,9
543,P9N,13,5,18
